target_entry	from_address	from_function	ref_type
0042ad20	004129e0	FUN_00411d37	DATA
004302e0	004140d7	FUN_00413e87	DATA
0042ad60	00412a31	FUN_00411d37	DATA
00419c90	00419e95	FUN_00419e60	UNCONDITIONAL_CALL
00419c90	00419e1f	FUN_00419c90	UNCONDITIONAL_CALL
0041c140	0040e2a5	FUN_0040de20	DATA
0041ee50	0040ef00		DATA
